type,commenter,comment,source_index,date_time,ip
→,TZUYIC,那麼多時間寫文章叫作閒情逸致，那以後不寫了。,5,05/08 13:32,
推,subseven,大的存款不是樓樓上能想像的吧XD 感謝T大分享!,5,05/08 13:38,
推,ROCAF,子大概不知道T董的實力,5,05/08 17:26,
推,tnf,Z大~~你不可以不寫~~你不可以任性!!!拜託你寫啦~,5,05/08 19:30,
推,ClassicTZ,   真是詳細,5,05/08 21:41,
推,purin59,，就說你不去銀行上班太可惜了!!我渣打老東家有缺行員喔,5,05/09 02:23,
推,Anadyomene,,5,05/09 13:53,
推,michaleeeee,讚的!! 狂推!,5,05/09 19:40,
→,TZUYIC,果大家喜歡的話，就麻煩有空多點點文章中的圖片網址囉，,5,05/09 19:52,
→,TZUYIC,為圖片空間規定超過一個月沒人瀏覽的圖片將會被系統自動,5,05/09 19:54,
→,TZUYIC,除，這樣一來就看不到啦，所以還是需要大家多點閱！ :),5,05/09 19:55,
推,ROCAF,點完圖了,5,05/09 21:35,
推,tnf,!!!我會去點的,5,05/10 11:52,
推,Anadyomene,,5,05/10 15:24,
推,ivyL,心文推,5,05/11 22:23,
推,tnf,Z大~超感謝您如此的用心~代表大家跟你敬禮致謝(敬禮)TZ大萬歲,5,05/15 12:02,
推,Anadyomene,60推,5,05/17 22:29,
推,yinson,? 我竟然沒推過  推推  ^^b,5,05/24 16:14,
推,bigair888,找這篇發現竟然置底啦,5,05/24 19:56,
推,fr373969,ush,5,05/24 23:20,
推,tnf,有點圖了，說好每個月要點一次~可是~~點到後面我的kkman當了,5,05/27 11:45,
推,yinson,新電腦 ＊*＊ˋ( ￣▽￣)ˊ＊*＊,5,05/27 15:54,
推,johnjohncoin,銀CHF匯差擴大，煩請更正表格，thx,5,05/30 10:13,
→,TZUYIC,說臺灣銀行拉大澳幣的匯差，我先觀察兩天再看看……,5,06/08 09:47,
推,johnjohncoin,猜下個調高匯差的幣別就是NZD，調高不爽，但還是,5,06/08 18:38,
→,johnjohncoin,國最低的話，就只好加減用了,5,06/08 18:38,
推,stardick,!!!,5,07/07 00:19,
推,slalala,邦網銀 美金澳幣有讓0.03,5,07/09 16:15,
推,ting24,,5,07/18 21:47,
→,miniuser,枝的ZAR 只能ZAR轉成其他幣別 無逆向反應,5,08/13 20:33,
推,tnf,月一點，今日8/23每月一點完畢...,5,08/23 15:52,
推,tnf,Z大，每月一點改成每月三點，結果~還是又多了圖看不到失效了,5,09/09 17:11,
推,tnf,有很認真點說~~站內信給你...,5,09/09 17:11,
推,winny221,得不推!!曠世好文阿~~對剛要接觸外幣的人真的很有幫助~,5,09/20 15:17,
推,Iammashen,一下 大概了解了,5,09/29 16:45,
→,tnf,"末連假，提早來每月三點...^^""",5,10/06 16:37,
→,tnf,月一點，沒有新變化...,5,11/07 17:18,
→,TZUYIC,來想加入台新的優惠，不過看報紙寫台新近期的優惠方案只,5,11/21 14:53,
→,TZUYIC,今年底，所以暫時先不加入台新，等明年再觀察狀況而定。,5,11/21 14:54,
→,tnf,月一點~~沒有啥新變化~~有個小疑問...,5,11/22 15:14,
→,tnf,什麼有時候會多一兩個連結有時候又少一兩個連結...(納悶中),5,11/22 15:14,
推,fouraugust,"謝T大,不過華南的優惠好像看不到了",5,11/22 20:31,
→,fouraugust,外華南的CHF目前為0.26,5,11/22 20:31,
→,fouraugust,HF點差為0.26,5,11/22 20:32,
→,TZUYIC,解，先做紀錄，之後再一併修正，感恩您。,5,11/22 21:15,
→,TZUYIC,S.其實圖片顯示的優惠我都放進表格中了，給圖只是作為參考,5,11/22 21:20,
→,TZUYIC,   文獻之用，如果圖片連結失效，可以直接看表格，我再找,5,11/22 21:23,
→,TZUYIC,  時間將所有的圖片連結更新為新的圖片空間（工程浩大）。,5,11/22 21:26,
推,tnf,工程真的很浩大...TZ大加油~銀行版的大家需要你呀!!!(握拳),5,12/02 16:26,
→,tnf,9個連結失效...orz,5,12/07 14:47,
→,tnf,上次的一樣~就不另轉寄連結了...以上報告...,5,12/07 14:51,
推,fouraugust,"謝T大,我也把全部連結點了一遍XD",5,12/08 20:57,
→,tnf,上好棒!!!!越多人幫點，我每月就可以少點一點了..,5,12/13 20:55,
→,tnf,然銀行版的大家就會少一篇置底精華文可以瀏覽了...,5,12/13 21:02,
→,TZUYIC,新銀行今年不提供網銀外幣交易優惠給一般客戶了，剛才試,5,01/05 10:24,
→,TZUYIC,一下發現以原價牌告匯率交易，這樣我就不用加入台新囉～,5,01/05 10:25,
→,TZUYIC,消息：即日起至101年2月底，於星展網銀線上換外匯，享有,5,01/05 10:41,
→,TZUYIC,金減3分、歐元減8分、澳幣減8分之優惠；登入網銀即可看見,5,01/05 10:42,
→,TZUYIC,惠訊息。,5,01/05 10:42,
→,TZUYIC,消息：渣打銀行網路銀行外匯交易優惠今年前半年持續，即,5,01/05 10:45,
→,TZUYIC,起至101年6月29日，享9種外幣線上換匯優惠，詳情見：,5,01/05 10:46,
→,TZUYIC,ttp://tinyurl.com/7wrnvwx 活動網頁。,5,01/05 10:46,
→,TZUYIC,（101）年，臺灣銀行及玉山銀行網銀外匯交易優惠皆持續～,5,01/05 11:06,
→,TZUYIC,邦銀行網路銀行最新外幣交易優惠（登入網銀可看到）：,5,01/05 22:34,
→,TZUYIC,購美金、澳幣、紐幣牌告匯率減3分，結購歐元牌告減1角；,5,01/05 22:35,
→,TZUYIC,售美金、澳幣、紐幣牌告匯率加3分，結購歐元牌告加1角。,5,01/05 22:36,
→,TZUYIC,邦活動：http://www.ubot.com.tw/UB/2009_123/index.html,5,01/06 12:03,
推,tnf,Z大~~p24合作金庫匯率加減碼優惠好像改了~~link壞了...XDDD,5,01/06 14:04,
推,tnf,他的部分就還是一樣，截圖的部分有些連結失效，以上報告,5,01/06 14:05,
→,tnf,月一點，完畢!!!,5,01/06 14:06,
→,TZUYIC,的，先做筆記ing～感謝^^,5,01/07 00:06,
推,liuring,"像有錯唷...如果以澳幣兌台幣31,台銀0.2%是賣30.938(網)",5,02/10 08:54,
→,liuring,"惠6.2分....勝過玉山優惠5分...而且值愈大優惠愈多,應該",5,02/10 08:55,
→,liuring,台銀大勝玉山吧,5,02/10 08:56,
→,liuring,否要修改一下台銀玉山的優勝比較呢,5,02/10 08:57,
→,TZUYIC,是比實際交易匯差（一來一往），不是指光比賣出或買入之,5,02/10 09:17,
→,TZUYIC,中單項，再加上玉山澳幣原始匯差本身就比較小，所以一般,5,02/10 09:18,
→,TZUYIC,戶玉山贏是沒有問題。,5,02/10 09:18,
→,TZUYIC,的計算方式在文章裡都解釋過了，可以再看一下。:),5,02/10 09:19,
→,tnf,潰了~~這次多達36個圖連結失效~~orz...,5,03/06 22:16,
推,maymaynow,！,5,03/09 00:04,
推,gsuper,大已經 dominating 了,5,04/01 21:31,
推,tnf,"月一點完畢~~總共35個連結失效~~>""<",5,04/02 22:18,
→,tnf,update失效的網址給妳嗎??,5,04/02 22:18,
→,tnf,天都不敢上線不敢點~我怕被愚人節了...XDDD,5,04/02 22:20,
推,volia,"略先看過~給讚!再來慢慢研究,感謝T大的辛勞。",5,04/14 00:51,
→,tnf,"月一點完畢~總共有36個連結失效~^^""",5,05/01 22:15,
→,tnf,次每月一點有像在玩樂透的感覺~點到沒失效的~在電腦前面喊,5,05/01 22:16,
→,tnf,效有效有效耶~~(像是中樂透的感覺)，這是每月一點的新樂趣XD,5,05/01 22:16,
推,tnf,上報告完畢...,5,05/01 22:17,
推,smartboy,銀年初開始有新優惠 http://tinyurl.com/7kcwpjj,5,05/12 16:47,
推,molalisa,看有推一下,5,06/10 00:13,
→,TZUYIC,泰世華銀行網路銀行牌告匯率加減碼優惠：,5,06/11 14:21,
→,TZUYIC,ttp://tinyurl.com/2zqegj,5,06/11 14:22,
推,b19880604,啦,5,07/16 02:30,
推,darwin0711,"恩 ,工程真的浩大啊...",5,09/19 17:40,
→,TZUYIC,人民幣匯率出來再更新文章好了（一天拖過一天，快逃呀）,5,02/05 20:07,
推,littlegreen,求人民幣整理版,5,02/08 02:30,
→,westfour,中有excel表格懶得放  總之一般客戶開玉山就對了,5,12/29 12:17,
→,westfour,浪費時間比了,5,12/29 12:17,
推,mauricew,大可以加上人民幣嗎?,5,01/13 10:29,
推,hot4321,推,5,03/03 15:34,
推,lukeduke,謝! 這篇非常實用啊!,5,03/25 10:56,
推,smashin,超詳細!大感謝!!!,5,09/02 13:29,
推,jefflin555,這篇怎麼還沒爆?,5,09/07 16:51,
推,jefflin555,我推,5,09/08 08:14,
推,jefflin555,再推,5,10/12 13:32,
→,jefflin555,補推,5,10/13 16:10,
推,jefflin555,沒推到，XD,5,10/13 16:30,
推,jefflin555,,5,10/14 08:48,
推,jefflin555,爆!!!,5,10/14 09:15,
推,BearFather,這篇常參考 持續大推,5,12/14 01:29,
推,hiyida,這篇猛,5,01/26 11:23,
推,seigaku00765,這篇太猛,5,03/01 21:47,
推,lily268268,good,5,03/05 17:38,
推,bms,推,5,08/17 16:38,
→,TZUYIC,玉山網路銀行／行動銀行匯率優惠現在放在這裡喔：,5,08/22 10:16,
→,TZUYIC,http://tinyurl.com/pj28f9j,5,08/22 10:16,
推,jammy50605,推,5,10/18 22:25,
推,perrylieu,"華南澳幣匯差是0.232,請修正一下",5,01/07 09:38,
推,pinkygill,推,5,03/10 17:07,
推,sisters,推,5,03/18 22:39,
推,johnlin35,太用心了~感謝分享 :),5,03/20 21:45,
推,perrylieu,錯誤百出，也不會修正,5,04/06 11:00,
→,perrylieu,我指的是匯差和網銀優惠,5,04/06 11:01,
推,jefflin555,樓上那麼會，就請你出來發一篇 100% 正確的,5,05/06 00:22,
推,justin0405,推！整理,5,08/28 09:10,
推,peal,那買入跟賣出的 匯兌損失 有比較到嗎?匯兌損失比較重要吧,5,11/17 19:40,
推,Hunting,peal.  t大那麼辛苦寫這一大篇不就都是在分析匯兌損失嗎,5,02/02 15:46,
→,Hunting, = =,5,02/02 15:46,
→,Hunting,匯兌損失=匯差呀,5,02/02 15:46,
推,Juan17,推 這篇真是外匯入門寶典呀 感恩T大!!,5,05/16 23:19,
推,tnf,把全部的連結都點一遍，但連結大部分都失效了~~~(掩面哭泣貌),5,06/19 22:38,
→,prussian,開外幣戶頭兩年以來，永豐美元即期匯率匯差永遠超過0.1,5,07/31 21:32,
→,prussian,大部份在 0.105~0.125 之間飄，早就比大多數銀行都爛了,5,07/31 21:32,
→,prussian,網銀還完全沒有優惠，反倒電話有，真不曉得活在哪個年代,5,07/31 21:33,
噓,fisher790722,第一部分聯邦銀行的數據有錯。歐元匯率差是0.36，,5,08/29 00:47,
→,fisher790722,澳幣是0.2,5,08/29 00:47,
推,jefflin555,那麼會,5,09/11 04:13,
推,IWD,很用心很棒的文章！非常感謝T大,5,05/19 08:36,
→,lico000,新臺幣活期存款專案_公告 PDF檔,5,08/09 04:13,
推,CCAP,整存,5,10/22 21:11,
→,sh0428,所以55樓555 支持3？33。,5,09/18 20:25,
推,popolili,謝謝,5,01/29 20:11,
推,HCN,浩大工程！感謝先~~~~,5,02/20 16:03,
推,Kevinren,感謝T大整理分享,5,10/09 21:58,
→,aiyowaya,花旗的消費者 看看這個 再想想自己要不要支持這可能買主,5,11/21 22:44,
→,SkyPtt,玉山日圓優惠0.0017了,5,03/29 09:59,
→,SkyPtt,永豐是推匯優利定存取代匯率折讓，實際要算一下，但不致,5,03/29 10:01,
→,SkyPtt,於太差,5,03/29 10:01,
→,greencue,感謝大大整理,5,04/25 15:03,
噓,m180,算這麼累不嫌累嗎,5,05/16 10:53,
推,wisteriachi,感謝整理,5,07/01 00:01,
推,chencu,推，很用心,5,07/12 08:42,
→,YesNoter,感謝,5,10/14 18:32,
推,jc0953489312,推,5,10/20 09:05,
推,gn6824,感謝,5,06/19 12:50,
噓,pinrain, 7,5,10/06 11:10,
推,tonton0131,推！感謝,5,12/19 21:07,
推,feisky,感恩推,5,01/17 20:17,
→,crazyghost,2021.09.29 ritalin0328,7,09/29 23:29,
→,crazyghost,2021.11.16 ssaymssik 累犯 水桶2個月,7,11/17 23:22,
噓,top911,真混Y～,7,12/13 03:30,
→,crazyghost,2022.01.16 CPBL,7,01/16 09:45,
→,crazyghost,2022.06.24 love1987611,7,06/24 00:56,
→,jasome,2022.07.01 asv1764,7,07/01 09:13,
→,jasome,2022.07.25 ninjaxin,7,07/27 01:44,
→,jasome,2022.07.25 doraqqqq,7,07/27 01:45,
→,jasome,2022.07.27 suspect1,7,07/27 22:54,
→,jasome,2022.07.31 charles0939,7,07/31 01:06,
→,jasome,2022.08.21 TOP99 板規10,7,08/21 08:46,
→,jasome,2022.08.31 k9120303,7,08/31 22:40,
→,jasome,2022.09.25 a6000200,7,09/25 10:55,
→,jasome,2022.09.28 jefflin555,7,09/28 14:23,
→,jasome,2022.10.08 m180,7,10/08 08:22,
→,jasome,2022.10.08 a09728347966,7,10/09 00:20,
→,jasome,2022.10.12 ctr29,7,10/12 00:42,
→,jasome,2022.10.17 banana321,7,10/17 08:10,
→,jasome,2022.10.20 dilbertludan,7,10/20 19:13,
→,jasome,2022.10.24 NTUSTEE118,7,10/24 03:48,
→,jasome,2022.10.31 uctheshaved,7,10/31 12:44,
→,jasome,2022.11.01 jack4215,7,11/01 00:10,
→,jasome,2022.11.30 a316xxx,7,12/02 16:03,
→,jasome,2022.12.01 Takadanobaba,7,12/02 16:03,
→,jasome,2022.12.05 hihilove,7,12/05 17:57,
→,crazyghost,2022.12.30 boa711211,7,12/31 00:08,
→,crazyghost,2023.1.1 m180 (2篇 累犯水桶1個月),7,01/02 00:41,
→,jasome,2023.01.09 abetterman,7,01/09 12:11,
→,jasome,2022.01.05 G4321,7,01/18 00:39,
→,jasome,2023.03.01 hahawo,7,03/02 12:06,
→,jasome,2023.03.04 MEOWWW,7,03/04 10:58,
→,jasome,2023.03.16 s6733014,7,03/16 16:27,
→,crazyghost,2023.3.18 bill6618,7,03/18 23:17,
→,jasome,2023.03.28 imkiwiwi,7,03/29 01:52,
→,jasome,2023.04.02 RTA,7,04/02 13:49,
→,jasome,2023.04.01 ftank183,7,04/02 13:50,
→,jasome,2023.04.06 jcjohny888,7,04/06 14:53,
→,jasome,2023.04.11 cecilx,7,04/11 21:00,
→,jasome,2023.04.15 nancy925,7,04/15 17:15,
→,jasome,2023.05.07 ntoummd,7,05/07 12:27,
→,jasome,2023.05.28 ninifion,7,05/28 07:21,
→,jasome,2023.06.12 nxrandy,7,06/13 00:08,
→,jasome,2023.06.20 chienting22,7,06/20 22:15,
→,jasome,2023.06.25 chiu901,7,06/25 12:16,
→,jasome,2023.08.01 jackyetr2003,7,08/02 23:00,
→,jasome,2023.08.03 blue6308,7,08/03 21:42,
→,jasome,2023.08.14 cashnick,7,08/14 16:15,
→,jasome,2023.08.16 silenthillwu,7,08/16 04:46,
→,jasome,2023.09.07 ej404,7,09/07 20:25,
→,jasome,2023.09.29 cigxm,7,09/29 14:31,
→,jasome,2023.10.16 windazn,7,10/17 21:41,
→,jasome,2023.11.03 tewyliu0120,7,11/03 17:21,
→,jasome,2023.11.16 brendan78,7,11/17 17:45,
→,jasome,2023.12.14 baskettank,7,12/14 18:45,
→,jasome,2023.12.30 johny888,7,12/30 21:28,
→,jasome,2024.01.20 Kwazycupcake,7,01/20 20:28,
推,jasome,感謝新年的一年仍持續整理 本篇置底m文,8,01/01 20:25,
推,YIHE,推 喜歡這種簡單乾淨的排版,8,01/01 20:32,
推,dadadadada,感謝整理,8,01/01 20:40,
推,ivanami,感謝整理,8,01/01 20:40,
推,danielhsu88,感謝整理,8,01/01 20:55,
推,andy0055,感謝整理,8,01/01 21:00,
推,Kazamatsuri,樂天前兩個條件改成成功付款-取消退貨退款次數會比較,8,01/01 21:01,
→,Kazamatsuri,好 免得有人忘記扣掉下個月就沒了 XD,8,01/01 21:01,
推,zo4j4,感謝,8,01/01 21:02,
推,starwillow,謝謝整理,8,01/01 21:02,
推,tn00725255,感謝整理,8,01/01 21:10,
推,runrunkaka,感謝整理,8,01/01 21:14,
→,Oggy,居然沒有 822,8,01/01 21:23,
→,deersummer,謝謝整理。,8,01/01 21:33,
推,kingsgame,謝謝 看來北富銀變舊戶就沒戲了...,8,01/01 21:38,
推,vencoorty,感謝整理推，另問街利存算嗎？（只是還要解任務、等級,8,01/01 21:47,
→,vencoorty,制）  XD,8,01/01 21:47,
推,PitzMan,感謝費心整理分享LoL,8,01/01 21:48,
推,vul3m6,感謝分享,8,01/01 21:51,
推,debian99,推,8,01/01 21:56,
→,CoffeeMoon,舊戶土銀以上的利率才值得存。,8,01/01 22:05,
推,misu2718,實用！,8,01/01 22:05,
推,chuck0629,感謝整理,8,01/01 22:43,
推,hollowlife,謝謝,8,01/01 22:53,
推,TimWater,感謝整理,8,01/01 22:59,
推,woodous,謝謝整理,8,01/01 22:59,
推,dip987,推熱心,8,01/01 23:08,
推,khsjds,大戶還有信貸扣款帳戶的條件相對好達成,8,01/01 23:19,
推,Kazamatsuri,822目前無任何優惠活動 lol,8,01/01 23:25,
推,ivyhoney,聯邦有什麼新戶禮可以順便領嗎？,8,01/01 23:40,
推,Mochida,推,8,01/01 23:51,
推,chiahua7308,感謝整理,8,01/02 00:15,
推,madcloud,推,8,01/02 00:17,
推,cherry34,感謝整理 原po心想事成,8,01/02 00:21,
推,lucky123820,推,8,01/02 00:29,
推,yuwenmayday,感謝整理！,8,01/02 00:33,
推,KingsWebber,感謝整理辛苦了,8,01/02 00:50,
推,shizukada,感謝整理,8,01/02 01:56,
推,ten0227,推,8,01/02 02:16,
推,cents,推,8,01/02 07:29,
→,toma186,整理推,8,01/02 07:49,
推,tsuping,感謝整理,8,01/02 08:54,
推,abobstar,感謝整理 辛苦了,8,01/02 09:24,
推,BabyWolf,推,8,01/02 09:41,
推,Kittyrong,感謝整理,8,01/02 09:57,
推,zhennnnnn,推整理,8,01/02 10:50,
推,xiaotee,感謝整理,8,01/02 11:05,
推,s1011282,感謝整理,8,01/02 12:08,
推,LoveMakeLove,感謝整理 將來繼續當大哥,8,01/02 12:12,
推,TZUYIC, d(￣︶￣)b 讚啦！,8,01/02 12:20,
推,shixi,感謝整理!,8,01/02 12:37,
推,hcl45,推推推！每年就超需要用心整理的Po主,8,01/02 13:57,
